target,bit,n,tcr,mean_tdr,collapse_rate,mean_rouge_l
K,0,90,0.3778,0.1733,0.0000,0.9385
K,1,90,0.3889,0.1617,0.0000,0.9225
K,2,90,0.4556,0.2098,0.0000,0.9131
K,3,90,0.4333,0.2271,0.0000,0.8979
K,4,90,0.5667,0.3033,0.0000,0.8717
K,5,90,0.5444,0.2845,0.0000,0.8654
K,6,90,0.5333,0.2309,0.0000,0.8896
K,7,90,0.4889,0.2870,0.0000,0.8543
K,8,90,0.5111,0.3069,0.0000,0.8609
K,9,90,0.5333,0.3064,0.0000,0.8551
K,10,90,0.5444,0.3526,0.0000,0.8394
K,11,90,0.5333,0.3484,0.0000,0.8357
K,12,90,0.5333,0.3573,0.0556,0.8154
K,13,90,0.5333,0.3788,0.1111,0.7627
K,14,90,0.9000,0.8855,0.8889,0.1185
K,15,90,0.5000,0.2799,0.0000,0.8734
V,0,90,0.3000,0.1390,0.0000,0.9422
V,1,90,0.2778,0.1306,0.0000,0.9455
V,2,90,0.4333,0.1994,0.0000,0.9170
V,3,90,0.4444,0.2173,0.0000,0.9034
V,4,90,0.4667,0.2411,0.0000,0.8890
V,5,90,0.5000,0.2731,0.0000,0.8762
V,6,90,0.4778,0.2418,0.0000,0.8914
V,7,90,0.4667,0.2717,0.0000,0.8799
V,8,90,0.5667,0.3128,0.0000,0.8530
V,9,90,0.5889,0.3219,0.0000,0.8448
V,10,90,0.4889,0.2855,0.0000,0.8597
V,11,90,0.4667,0.2557,0.0000,0.8800
V,12,90,0.4556,0.2470,0.0000,0.8814
V,13,90,0.4556,0.2470,0.0000,0.8814
V,14,90,1.0000,0.9911,1.0000,0.0089
V,15,90,0.5111,0.2832,0.0000,0.8545
